entry_date,exit_date,direction,credit,debit,short_strike,long_strike,max_loss_per_share,pnl,exit_reason,ret_pct,cum_pnl
2025-06-24,2025-06-25,bull,14.45,5.149999999999999,24800,24650,135.55,397.5,next_open,0.3975,397.5
2025-06-25,2025-06-26,bull,10.3,3.95,25000,24800,189.7,176.25000000000006,next_open,0.17625000000000007,573.75
2025-06-27,2025-06-30,bull,40.7,39.849999999999994,25500,25300,159.3,-236.24999999999937,next_open,-0.2362499999999994,337.5000000000006
2025-06-30,2025-07-01,bull,29.349999999999998,22.650000000000002,25350,25200,120.65,202.49999999999966,next_open,0.20249999999999965,540.0000000000002
2025-07-01,2025-07-02,bull,22.85,15.950000000000001,25400,25200,177.15,217.5,next_open,0.21749999999999997,757.5000000000002
2025-07-02,2025-07-03,bull,15.75,13.649999999999999,25300,25100,184.25,-142.4999999999999,next_open,-0.1424999999999999,615.0000000000003
2025-07-04,2025-07-07,bear,16.55,19.0,25800,25950,133.45,-483.74999999999994,next_open,-0.48374999999999996,131.2500000000004
2025-07-07,2025-07-08,bear,11.799999999999999,11.049999999999999,25800,25950,138.2,-243.75,next_open,-0.24375,-112.4999999999996
2025-07-08,2025-07-09,bear,8.5,4.45,25850,26050,191.5,3.75,next_open,0.00375,-108.7499999999996
2025-07-11,2025-07-14,bear,15.150000000000002,12.3,25500,25650,134.85,-86.24999999999989,next_open,-0.0862499999999999,-194.9999999999995
2025-07-14,2025-07-15,bear,16.5,18.8,25400,25600,183.5,-472.50000000000006,next_open,-0.4725000000000001,-667.4999999999995
2025-07-15,2025-07-16,bear,8.3,9.0,25500,25700,191.7,-352.49999999999994,next_open,-0.3524999999999999,-1019.9999999999995
2025-07-16,2025-07-17,bear,3.55,2.5999999999999996,25500,25650,146.45,-228.75,next_open,-0.22875,-1248.7499999999995
2025-07-18,2025-07-21,bear,17.950000000000003,17.45,25300,25450,132.05,-262.4999999999997,next_open,-0.26249999999999973,-1511.2499999999993
2025-07-21,2025-07-22,bear,10.399999999999999,12.7,25400,25550,139.6,-472.50000000000006,next_open,-0.4725000000000001,-1983.7499999999993
2025-07-22,2025-07-23,bear,5.35,5.9,25350,25500,144.65,-341.25000000000006,next_open,-0.34125000000000005,-2324.9999999999995
