n_trades,n_boot,mean_return_pct,median_return_pct,p5_return_pct,p95_return_pct,pct_boot_profitable,strategy
56,5000,24.93,25.52,1.54,45.8,96.0,Momentum-Expiry-HoldToSettle
18,5000,17.13,17.35,4.79,28.24,98.7,MeanReversion-Expiry
