strategy,trades,win_rate_pct,total_pnl_rs,total_return_pct,cagr_pct,max_drawdown_pct,avg_win_rs,avg_loss_rs,profit_factor,sharpe_like,period_days,base_strategy,entry_offset_days
Momentum-Expiry-HoldToSettle-off1,56,62.5,-16684.0,-16.68,-15.9,-28.79,536.0,-1688.0,0.53,-0.8,386,Momentum-Expiry-HoldToSettle,1
Momentum-Expiry-HoldToSettle-off2,56,91.1,24874.0,24.87,23.5,-7.35,850.0,-3692.0,2.35,1.78,384,Momentum-Expiry-HoldToSettle,2
Momentum-Expiry-HoldToSettle-off3,51,80.4,-16654.0,-16.65,-15.8,-26.18,1064.0,-6028.0,0.72,-0.7,386,Momentum-Expiry-HoldToSettle,3
Momentum-Expiry-HoldToSettle-off4,39,82.1,7433.0,7.43,7.0,-16.16,1545.0,-6001.0,1.18,0.35,389,Momentum-Expiry-HoldToSettle,4
MeanReversion-Expiry-off1,27,44.4,-11835.0,-11.84,-12.1,-12.74,954.0,-1552.0,0.49,-0.92,356,MeanReversion-Expiry,1
MeanReversion-Expiry-off2,18,77.8,17246.0,17.25,22.2,-3.13,1531.0,-1046.0,5.12,2.69,290,MeanReversion-Expiry,2
MeanReversion-Expiry-off3,21,76.2,17141.0,17.14,18.7,-2.68,1333.0,-838.0,5.09,2.87,337,MeanReversion-Expiry,3
MeanReversion-Expiry-off4,18,72.2,356.0,0.36,0.3,-9.09,1312.0,-3341.0,1.02,0.03,384,MeanReversion-Expiry,4
