entry_date,exit_date,direction,credit,debit,short_strike,long_strike,max_loss_per_share,pnl,exit_reason,ret_pct,cum_pnl
2025-06-20,2025-06-23,bull,23.700000000000003,30.099999999999994,24850,24700,126.3,-779.9999999999993,next_open,-0.7799999999999994,-779.9999999999993
2025-06-23,2025-06-24,bull,27.400000000000006,13.350000000000001,24750,24550,172.6,753.7500000000002,next_open,0.7537500000000003,-26.24999999999909
2025-06-24,2025-06-25,bull,14.45,5.149999999999999,24800,24650,135.55,397.5,next_open,0.3975,371.2500000000009
2025-06-25,2025-06-26,bull,10.3,3.95,25000,24800,189.7,176.25000000000006,next_open,0.17625000000000007,547.5000000000009
2025-06-27,2025-06-30,bull,40.7,39.849999999999994,25500,25300,159.3,-236.24999999999937,next_open,-0.2362499999999994,311.25000000000153
2025-06-30,2025-07-01,bull,29.349999999999998,22.650000000000002,25350,25200,120.65,202.49999999999966,next_open,0.20249999999999965,513.7500000000011
2025-07-01,2025-07-02,bull,22.85,15.950000000000001,25400,25200,177.15,217.5,next_open,0.21749999999999997,731.2500000000011
2025-07-02,2025-07-03,bear,3.75,3.5,25800,26000,196.25,-281.25,next_open,-0.28125,450.00000000000114
2025-07-04,2025-07-07,bear,16.55,19.0,25800,25950,133.45,-483.74999999999994,next_open,-0.48374999999999996,-33.749999999998806
2025-07-08,2025-07-09,bull,15.299999999999999,18.5,25350,25200,134.7,-540.0000000000001,next_open,-0.5400000000000001,-573.7499999999989
2025-07-09,2025-07-10,bull,10.850000000000001,6.65,25300,25100,189.15,15.000000000000057,next_open,0.015000000000000055,-558.7499999999989
2025-07-11,2025-07-14,bear,15.150000000000002,12.3,25500,25650,134.85,-86.24999999999989,next_open,-0.0862499999999999,-644.9999999999987
2025-07-14,2025-07-15,bear,16.5,18.8,25400,25600,183.5,-472.50000000000006,next_open,-0.4725000000000001,-1117.4999999999989
2025-07-15,2025-07-16,bear,8.3,9.0,25500,25700,191.7,-352.49999999999994,next_open,-0.3524999999999999,-1469.9999999999989
