entry_date,exit_date,net_credit,exit_debit,put_short,put_long,call_short,call_long,max_loss_per_share,pnl,exit_reason,ret_pct,cum_pnl
2025-06-16,2025-06-19,34.0,0.1,24600,24350,25350,25600,216.0,1942.5,target,1.9425000000000001,1942.5
2025-06-23,2025-06-26,34.1,198.35,24600,24350,25350,25600,215.9,-12918.75,stop_loss,-12.918750000000001,-10976.25
2025-06-30,2025-07-01,37.25,13.75,25250,24950,26000,26250,262.75,1162.5,target,1.1625,-9813.75
2025-07-07,2025-07-08,25.75,12.55,25150,24900,25900,26200,274.25,390.0,target,0.38999999999999996,-9423.75
2025-07-14,2025-07-15,21.5,9.25,24800,24550,25550,25800,228.5,318.75,target,0.31875,-9105.0
2025-07-21,2025-07-22,16.65,6.65,24750,24500,25500,25750,233.35,149.9999999999999,target,0.14999999999999988,-8955.0
2025-07-28,2025-07-30,22.45,7.9,24350,24100,25100,25350,227.55,491.25,target,0.49125,-8463.75
2025-08-04,2025-08-07,26.4,0.15,24400,24150,25150,25400,223.6,1368.75,target,1.36875,-7095.0
2025-08-11,2025-08-13,19.85,3.6,24250,24000,25000,25250,230.15,618.75,target,0.61875,-6476.25
2025-08-18,2025-08-19,20.75,6.9,24600,24350,25350,25600,229.25,438.75,target,0.43875,-6037.5
2025-08-22,2025-08-25,22.7,10.3,24500,24300,25250,25500,227.3,330.00000000000034,target,0.33000000000000035,-5707.5
2025-09-04,2025-09-08,17.9,4.2,24450,24200,25200,25450,232.1,427.5,target,0.4275,-5280.0
2025-09-11,2025-09-12,14.2,6.3,24750,24500,25500,25750,235.8,-7.500000000000227,target,-0.007500000000000227,-5287.5
2025-09-18,2025-09-23,9.35,0.6,25150,24850,25900,26150,290.65,56.249999999999886,target,0.05624999999999989,-5231.25
2025-09-25,2025-09-30,15.15,1.2,24600,24350,25350,25600,234.85,446.25,target,0.44625000000000004,-4785.0
2025-10-01,2025-10-03,18.15,7.55,24600,24350,25350,25600,231.85,194.9999999999999,target,0.1949999999999999,-4590.0
2025-10-09,2025-10-10,10.45,5.05,24900,24650,25650,25900,239.55,-194.9999999999999,target,-0.1949999999999999,-4785.0
2025-10-15,2025-10-20,17.3,0.0,25050,24800,25800,26050,232.7,697.4999999999998,expiry,0.6974999999999998,-4087.5
2025-10-23,2025-10-27,23.0,5.4,25600,25350,26350,26650,277.0,720.0,target,0.72,-3367.5
2025-10-30,2025-11-04,31.05,0.0,25650,25400,26400,26700,268.95,1728.75,expiry,1.72875,-1638.75
