entry_date,exit_date,net_credit,exit_debit,put_short,put_long,call_short,call_long,max_loss_per_share,pnl,exit_reason,ret_pct,cum_pnl
2025-06-17,2025-06-19,36.25,0.15,24600,24400,25100,25300,163.75,2107.5,target,2.1075,2107.5
2025-06-24,2025-06-26,38.5,199.0,24800,24600,25300,25500,161.5,-12637.500000000002,stop_loss,-12.637500000000001,-10530.000000000002
2025-07-01,2025-07-03,30.05,1.5,25400,25200,25900,26100,169.95,1541.25,target,1.54125,-8988.750000000002
2025-07-08,2025-07-10,26.35,2.8,25350,25150,25850,26050,173.65,1166.25,target,1.16625,-7822.500000000002
2025-07-15,2025-07-17,19.85,0.15,25000,24800,25500,25700,180.15,877.5000000000002,target,0.8775000000000002,-6945.000000000002
2025-07-22,2025-07-24,16.15,0.1,24850,24650,25350,25550,183.85,603.7499999999998,target,0.6037499999999998,-6341.250000000002
2025-07-29,2025-07-31,21.55,0.1,24600,24400,25100,25300,178.45,1008.7499999999998,target,1.0087499999999998,-5332.500000000002
2025-08-05,2025-08-07,28.9,0.2,24450,24250,24950,25150,171.1,1552.5,target,1.5525,-3780.000000000002
2025-08-12,2025-08-14,22.85,0.05,24300,24100,24800,25000,177.15,1110.0,target,1.11,-2670.000000000002
2025-08-19,2025-08-20,18.4,7.8,24800,24600,25300,25500,181.6,194.9999999999999,target,0.1949999999999999,-2475.000000000002
2025-08-25,2025-08-26,17.85,59.7,24750,24550,25250,25450,182.15,-3738.75,stop_loss,-3.7387499999999996,-6213.750000000002
2025-08-29,2025-09-01,25.95,8.75,24300,24150,24800,25000,174.05,690.0000000000002,target,0.6900000000000003,-5523.750000000002
2025-09-05,2025-09-08,26.35,10.4,24600,24400,25100,25300,173.65,596.25,target,0.59625,-4927.500000000002
2025-09-12,2025-09-16,17.05,0.05,24950,24750,25450,25650,182.95,674.9999999999998,target,0.6749999999999997,-4252.500000000002
2025-09-19,2025-09-23,14.5,0.7,25150,24950,25650,25850,185.5,435.0,target,0.43499999999999994,-3817.500000000002
2025-09-26,2025-09-29,25.95,9.05,24450,24250,24950,25150,174.05,667.5,target,0.6675,-3150.000000000002
2025-10-03,2025-10-06,17.25,7.15,24750,24550,25250,25450,182.75,157.5,target,0.1575,-2992.500000000002
2025-10-10,2025-10-14,15.7,2.35,25150,24950,25650,25850,184.3,401.2499999999999,target,0.4012499999999999,-2591.250000000002
2025-10-16,2025-10-20,26.1,0.1,25400,25200,25900,26100,173.9,1350.0,target,1.35,-1241.2500000000018
2025-10-24,2025-10-28,29.7,0.4,25550,25350,26050,26300,220.3,1597.5,target,1.5975,356.2499999999982
2025-10-31,2025-11-04,39.45,0.0,25650,25450,26150,26350,160.55,2358.75,expiry,2.35875,2714.999999999998
2025-11-07,2025-11-10,30.0,7.7,25350,25150,25850,26050,170.0,1072.4999999999998,target,1.0724999999999998,3787.499999999998
2025-11-14,2025-11-17,39.0,12.4,25700,25500,26200,26400,161.0,1395.0,target,1.395,5182.499999999998
2025-11-21,2025-11-24,30.1,13.8,25800,25600,26350,26550,169.9,622.5,target,0.6224999999999999,5804.999999999998
2025-11-28,2025-12-02,29.05,0.0,26100,25900,26650,26850,170.95,1578.75,expiry,1.5787499999999999,7383.749999999998
2025-12-05,2025-12-08,21.95,95.65,26050,25850,26600,26800,178.05,-6127.499999999999,stop_loss,-6.127499999999999,1256.249999999999
2025-12-12,2025-12-16,22.05,0.0,25900,25650,26400,26600,227.95,1053.7500000000002,expiry,1.0537500000000002,2309.999999999999
2025-12-19,2025-12-23,13.2,0.05,25750,25550,26300,26500,186.8,386.2499999999999,target,0.38624999999999987,2696.249999999999
2025-12-26,2025-12-30,10.4,0.05,25800,25600,26300,26550,239.6,176.2499999999999,target,0.17624999999999988,2872.499999999999
2026-01-02,2026-01-06,19.9,0.0,26200,26000,26700,26950,230.1,892.5,expiry,0.8925000000000001,3764.999999999999
2026-01-09,2026-01-12,32.45,12.85,25550,25300,26050,26250,217.55,870.0000000000005,target,0.8700000000000004,4635.0
2026-01-16,2026-01-20,35.55,206.25,25500,25300,26000,26200,164.45,-12933.75,stop_loss,-12.93375,-8298.75
2026-01-22,2026-01-27,47.55,2.6,25100,24900,25600,25800,152.45,2771.2499999999995,target,2.7712499999999993,-5527.5
2026-01-30,2026-02-03,88.4,0.0,25150,24950,25650,25850,111.6,6030.0,expiry,6.03,502.5
2026-02-06,2026-02-10,35.85,0.4,25500,25250,26000,26200,214.15,2058.75,target,2.0587500000000003,2561.25
2026-02-13,2026-02-17,38.4,1.35,25250,25050,25750,26000,211.6,2178.75,target,2.17875,4740.0
2026-02-20,2026-02-24,47.3,0.4,25350,25100,25850,26050,202.7,2917.5,target,2.9175,7657.5
2026-02-26,2026-03-02,55.95,246.65,25400,25150,25900,26100,194.05,-14902.5,stop_loss,-14.9025,-7245.0
2026-03-06,2026-03-10,101.75,45.4,24300,24100,24800,25000,98.25,3626.25,target,3.62625,-3618.75
