strategy,trades,win_rate_pct,total_pnl_rs,total_return_pct,cagr_pct,max_drawdown_pct,avg_win_rs,avg_loss_rs,profit_factor,sharpe_like,period_days,signal,width,notes
Zen-momentum10-Wide,202,23.8,-62078.0,-62.08,-60.5,-61.96,621.0,-597.0,0.32,-3.89,381,momentum10,Wide,"Zen-mechanic sweep: signal=momentum10, width=Wide"
Zen-momentum3-VeryWide,202,15.3,-66982.0,-66.98,-64.5,-67.06,622.0,-504.0,0.22,-3.33,391,momentum3,VeryWide,"Zen-mechanic sweep: signal=momentum3, width=VeryWide"
Zen-skew-Tight,190,37.4,-67549.0,-67.55,-64.7,-68.72,595.0,-923.0,0.38,-3.95,395,skew,Tight,"Zen-mechanic sweep: signal=skew, width=Tight"
Zen-skew-VeryWide,190,17.4,-69761.0,-69.76,-66.9,-69.84,595.0,-569.0,0.22,-4.24,395,skew,VeryWide,"Zen-mechanic sweep: signal=skew, width=VeryWide"
Zen-momentum3-Medium,202,34.2,-71152.0,-71.15,-68.7,-74.66,626.0,-860.0,0.38,-3.48,391,momentum3,Medium,"Zen-mechanic sweep: signal=momentum3, width=Medium"
Zen-skew-Wide,190,26.3,-71179.0,-71.18,-68.3,-72.49,578.0,-715.0,0.29,-3.56,395,skew,Wide,"Zen-mechanic sweep: signal=skew, width=Wide"
Zen-always_bull-VeryWide,210,18.1,-72750.0,-72.75,-69.9,-72.83,577.0,-550.0,0.23,-4.38,395,always_bull,VeryWide,"Zen-mechanic sweep: signal=always_bull, width=VeryWide"
Zen-momentum3-Wide,202,23.8,-74078.0,-74.08,-71.7,-76.5,529.0,-646.0,0.26,-3.92,391,momentum3,Wide,"Zen-mechanic sweep: signal=momentum3, width=Wide"
Zen-always_bull-Wide,210,27.1,-74111.0,-74.11,-71.3,-75.18,570.0,-697.0,0.3,-3.66,395,always_bull,Wide,"Zen-mechanic sweep: signal=always_bull, width=Wide"
Zen-always_bull-Tight,210,35.7,-81885.0,-81.89,-79.4,-83.39,614.0,-948.0,0.36,-4.38,395,always_bull,Tight,"Zen-mechanic sweep: signal=always_bull, width=Tight"
Zen-skew-Medium,190,33.2,-87229.0,-87.23,-85.1,-88.85,616.0,-992.0,0.31,-4.26,395,skew,Medium,"Zen-mechanic sweep: signal=skew, width=Medium"
Zen-always_bull-Medium,210,32.4,-98726.0,-98.73,-98.2,-99.91,643.0,-1003.0,0.31,-4.59,395,always_bull,Medium,"Zen-mechanic sweep: signal=always_bull, width=Medium"
